sosci_var;code;block;konstrukt;itemtext;format;werte;umgepolt;fsqca;thaler;status;varianten;hinweis
DM11;D11;2 Demografie;Informiertheit;Wie gut fühlten Sie sich vor dem Test über den Ablauf informiert?;Skala 5 (1 = sehr schlecht ... 5 = sehr gut);1-5;nein;;;v1.1 K9, Kontextanpassung 'vor dem Test';A,B;
DM12;D12;2 Demografie;Retrospektive Voreinstellung;Wie haben Sie VOR dem Testdurchlauf über digitales Wählen gedacht?;Skala 5 (1 = sehr negativ ... 5 = sehr positiv);1-5;nein;;;v2.1 K10r, strukturgleich U18 CV9;A,B,C;
DM13;D13;2 Demografie;Einstellungsänderung;Der Test hat meine Sicht auf digitales Wählen verändert.;Auswahl;"1 = verbessert; 2 = unverändert; 3 = verschlechtert";nein;;;v2.1 K10w;A,B,C;
DM14;D14;2 Demografie;Mitbestimmungszufriedenheit;Wie zufrieden sind Sie damit, wie die Mitbestimmung in Ihrer Dienststelle funktioniert?;Skala 5 (1 = sehr unzufrieden ... 5 = sehr zufrieden);1-5;nein;;;"v1.1 K11, Linde & Ekman (2003); Norris (2011)";A,B;Richtung des U18-Pendants CV10 vor Vergleich klären
BI01_01;BI1;3 Akzeptanz;BI Behavioral Intention;Ich würde bei zukünftigen Wahlen gerne wieder digital abstimmen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;Outcome BI;;wortgleich U18 digital;A,B,C;
BI01_02;BI2;3 Akzeptanz;BI Behavioral Intention;Ich würde die digitale Wahl einer Papier- oder Briefwahl vorziehen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;Outcome BI;;Kontextanpassung (U18: 'einer Papierwahl');A,B,C;
BI01_03;BI3;3 Akzeptanz;BI Behavioral Intention;Ich würde die digitale Wahl meinen Kolleg:innen empfehlen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;Outcome BI;;Kontextanpassung (U18: 'Freund:innen');A,B,C;
PE01_01;PE1;3 Akzeptanz;PE Performance Expectancy;Ich finde es sinnvoll, dass man bei dieser Wahl digital abstimmen kann.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;propriety (Proxy);wortgleich U18;A,B,C;
PE01_02;PE2;3 Akzeptanz;PE Performance Expectancy;Durch die digitale Wahl habe ich Zeit und Aufwand gespart.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;Kontextanpassung (Zeitform nach Test);A,B,C;
PE01_03;PE3;3 Akzeptanz;PE Performance Expectancy;Die digitale Abstimmung ist praktischer als eine Papier- oder Briefwahl.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;Kontextanpassung (U18: 'als eine Papierwahl');A,B,C;
EE01_01;EE1;3 Akzeptanz;EE Effort Expectancy;Die digitale Stimmabgabe im Test war einfach zu bedienen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;wortgleich U18 plus 'im Test';A,B,C;
EE01_02;EE2;3 Akzeptanz;EE Effort Expectancy;Ich habe auf Anhieb verstanden, wie die digitale Wahl funktioniert.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;wortgleich U18;A,B,C;
EE01_03;EE3;3 Akzeptanz;EE Effort Expectancy;Es war leicht für mich zu verstehen, wie ich digital wähle.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;wortgleich U18;A,B,C;
SI01_01;SI1;3 Akzeptanz;SI Social Influence;Meine Kolleg:innen finden es gut, dass digital gewählt werden konnte.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;SI;validity cue endorsement;Kontextanpassung (U18: 'Freund:innen ... wir');A,B,C;
SI01_02;SI2;3 Akzeptanz;SI Social Influence;Personen in meinem Umfeld würden es befürworten, wenn ich digital wähle.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;SI;validity cue endorsement;"v1.1-Umformulierung; Wortgleich-Spannung offen (Open Item)";A,B,C;
SI01_03;SI3;3 Akzeptanz;SI Social Influence;Personen, deren Meinung mir wichtig ist, würden digitales Wählen für richtig halten.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;SI;validity cue endorsement;"v1.1-Umformulierung; Wortgleich-Spannung offen (Open Item)";A,B,C;
FC01_01;FC1;3 Akzeptanz;FC Facilitating Conditions;Ich hatte alles, was ich brauchte, um digital zu wählen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;v1.1 E-Variante, Venkatesh et al. (2012);A,B,C;
FC01_02;FC2;3 Akzeptanz;FC Facilitating Conditions;Ich hatte das nötige Wissen, um die digitale Wahl zu nutzen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;v1.1 E-Variante, Venkatesh et al. (2012);A,B,C;
FC01_03;FC3;3 Akzeptanz;FC Facilitating Conditions;Ich konnte die digitale Wahl ungestört durchführen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;"NEU v1.1, unbelegt; Abbruchregel alpha < 0,70";A,B,C;
BR01_01;BI-R1;4 Transfer;BI-R Transfer echte Wahl;Bei der echten Personalratswahl würde ich digital abstimmen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;Robustheits-Outcome;;NEU v2.1, unbelegt;A,B,C;
BR01_02;BI-R2r;4 Transfer;BI-R Transfer echte Wahl;Ich hätte Bedenken, bei der echten Wahl digital abzustimmen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;ja;Robustheits-Outcome;;NEU v2.1, unbelegt;A,B,C;
TR01_01;TR1;5 Vertrauen;TR General Trust;Ich halte digitale Wahlen für vertrauenswürdig.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;TR;;wortgleich U18;A,B,C;
TR01_02;TR2;5 Vertrauen;TR General Trust;Digitale Wahlen können ihren Zweck genauso gut erfüllen wie Papierwahlen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;TR;;wortgleich U18;A,B,C;
TT01_01;TT1;5 Vertrauen;TT Technological Trust;Ich halte die Technik hinter digitalen Wahlen für zuverlässig.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;TT;;wortgleich U18;A,B,C;
TT01_02;TT2;5 Vertrauen;TT Technological Trust;Ich vertraue darauf, dass das System einer digitalen Wahl zuverlässig funktioniert.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;TT;;wortgleich U18 (U18-Qualtrics enthielt Tippfehler 'Sysytem');A,B,C;
TT01_03;TT3;5 Vertrauen;TT Technological Trust;Bei einer digitalen Wahl kann niemand sehen, was ich gewählt habe.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;TT;;wortgleich U18;A,B,C;
TT01_04;TT_5;5 Vertrauen;TT Technological Trust;Die Datenübertragung bei einer digitalen Wahl ist sicher.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;TT;;"wortgleich U18; Datensatz-Code TT_5 (TT_5-Falle: Zuordnung über Itemtext)";A,B,C;
TT01_05;TT4;5 Vertrauen;TT Technological Trust;Eine digitale Wahl ist schwer zu manipulieren.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;TT;;"wortgleich U18; Abdala et al. (2025)";A,B,C;
IT01_01;IT1;5 Vertrauen;IT Institutional Trust;Die Verantwortlichen führen die Wahl fair und korrekt durch.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;IT;validity cue authorization;Kontextanpassung (U18: 'führen Wahlen');A,B,C;
IT01_02;IT2;5 Vertrauen;IT Institutional Trust;Meine Dienststelle schützt meine Stimme.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;IT;validity cue authorization;Kontextanpassung (U18: 'Der Staat');A,B,C;
IT01_03;IT3;5 Vertrauen;IT Institutional Trust;Die Personen, die diese Wahl organisieren, haben das im Griff.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;IT;validity cue authorization;"v1.1-Fassung; Wortgleich-Spannung offen (Open Item)";A,B,C;
VT01_01;VT1;5 Vertrauen;VT Vendor Trust;Ich vertraue dem Unternehmen, das die Wahlsoftware bereitstellt.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;validity cue authorization;"NEU v1.1, unbelegt; exploratorisch";A,B,C;
VT01_02;VT2;5 Vertrauen;VT Vendor Trust;Ich möchte wissen, wer die Wahlsoftware betreibt.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;NEU v1.1, unbelegt;A,B,C;
VT01_03;VT3;5 Vertrauen;VT Vendor Trust;Bei einer Wahl sollte die Technik in öffentlicher Hand liegen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;NEU v1.1, unbelegt;A,B,C;
QS01_01;Q1;10 Qualitätssicherung;Aufmerksamkeitsprüfung;"Bitte kreuzen Sie hier ""stimme gar nicht zu"" an.";Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);"1-5; korrekt = 1";nein;;;platziert nach Block 5;A,B,C;Wortlaut folgt dem gewählten Skalenanker (Open Item Ankervereinheitlichung)
LG01_01;VAL1;6 Legitimität;VAL Validity;Die meisten Beschäftigten der Stadtverwaltung halten digitales Wählen für eine angemessene Art, den Personalrat zu wählen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;validity;"NEU, nicht validiert; kognitiver Pretest";A,B,C;
LG01_02;VAL2;6 Legitimität;VAL Validity;Unabhängig davon, was ich selbst denke: Digitales Wählen gilt in meinem Arbeitsumfeld allgemein als akzeptierte Form der Stimmabgabe.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;validity;"NEU, nicht validiert; kognitiver Pretest";A,B,C;
LG01_03;PROP1;6 Legitimität;PROP Propriety;Ich selbst halte digitales Wählen für eine angemessene Art, den Personalrat zu wählen.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;propriety;"NEU, nicht validiert; kognitiver Pretest";A,B;
PL01_01;PLTV1;7 Prüfbarkeit und Re-Voting;PLT-V Verifikationswunsch;Ich möchte selbst verstehen können, warum das System sicher ist, nicht nur hören, dass es sicher sein soll.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;wortgleich U18 PLT2 (Zeichensetzung);A,B,C;
PL01_02;PLTV2;7 Prüfbarkeit und Re-Voting;PLT-V Verifikationswunsch;Mein Vertrauen würde steigen, wenn ich die korrekte Zählung meiner Stimme selbst prüfen könnte.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;wortgleich U18 PLT3;A,B,C;
PL01_03;PLTV3;7 Prüfbarkeit und Re-Voting;PLT-V Verifikationswunsch;Es reicht mir, wenn Fachleute das System geprüft haben.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;ja;;;Kontextanpassung, dokumentierter Bruch zu U18 PLT4;A,B,C;
VE01_01;VER1;7 Prüfbarkeit und Re-Voting;VER Verifikation;Die Möglichkeit, meine Stimme zu überprüfen, war mir wichtig.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;"NEU v1.1, unbelegt; Auswertung mit T3";A,B,C;
VE01_02;VER2;7 Prüfbarkeit und Re-Voting;VER Verifikation;Durch die Überprüfbarkeit habe ich mehr Vertrauen in das Ergebnis.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;NEU v1.1, unbelegt;A,B,C;
RV01_01;RV1;7 Prüfbarkeit und Re-Voting;RV Re-Voting;Dass ich meine Stimme während des Wahlzeitraums ändern könnte, finde ich beruhigend.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;NEU v2.1, unbelegt;A,B,C;
RV01_02;RV2;7 Prüfbarkeit und Re-Voting;RV Re-Voting;Dass eine abgegebene Stimme änderbar ist, verunsichert mich.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;ja;;;NEU v2.1, unbelegt;A,B,C;
CL01_01;CL1;8 Erleben der Stimmabgabe;ER Experiential Realness;Die Stimmabgabe hat sich für mich konkret und greifbar angefühlt.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;ER;;wortgleich U18;A;
CL01_02;CL2;8 Erleben der Stimmabgabe;ER Experiential Realness;"Ich hatte das Gefühl, wirklich ""dabei"" zu sein.";Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;ER;;wortgleich U18;A;
CL01_03;CL3;8 Erleben der Stimmabgabe;ER Experiential Realness;"Meine Stimme abzugeben hat sich ""real"" angefühlt.";Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;ER;;"wortgleich U18; Kurzset B/C";A,B,C;
CL01_04;CL4;8 Erleben der Stimmabgabe;ER Experiential Realness;"Es hat sich angefühlt, als würde meine Stimme wirklich ""ankommen"".";Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;ER;;"wortgleich U18; Kurzset B/C";A,B,C;
CL01_05;CL_5;8 Erleben der Stimmabgabe;ER Experiential Realness;Der Wahlakt war für mich ein unmittelbares, direktes Erlebnis.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;ER;;"wortgleich U18; Datensatz-Code CL_5";A;
CV01_01;CVC1;8 Erleben der Stimmabgabe;CVC Entscheidungsfestigkeit;Ich stehe voll hinter meiner Wahlentscheidung.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;"wortgleich U18; exploratorisch";A,B,C;
CV01_02;CVC2;8 Erleben der Stimmabgabe;CVC Entscheidungsfestigkeit;Meine Wahlentscheidung fühlt sich endgültig und verbindlich an.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;wortgleich U18;A,B,C;
CV01_03;CVC3;8 Erleben der Stimmabgabe;CVC Entscheidungsfestigkeit;Nach der Stimmabgabe war mir klar: Das war meine Entscheidung.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;wortgleich U18;A,B,C;
PD01_01;PDS1;8 Erleben der Stimmabgabe;PDS Democratic Significance;Durch meine Stimmabgabe habe ich einen echten Beitrag geleistet.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;PDS;;wortgleich U18;A;
PD01_02;PDS2;8 Erleben der Stimmabgabe;PDS Democratic Significance;Meine Stimme hat Gewicht und Bedeutung.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;PDS;;"wortgleich U18; Kurzset B/C";A,B,C;
PD01_03;PDS3;8 Erleben der Stimmabgabe;PDS Democratic Significance;Die Teilnahme an dieser Wahl war für mich ein bedeutsamer Moment.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;PDS;;wortgleich U18;A;
PD01_04;PDS4;8 Erleben der Stimmabgabe;PDS Democratic Significance;Ich empfinde Stolz, wenn ich mein Wahlrecht ausübe.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;PDS;;"wortgleich U18; kognitiver Pretest (Wahlrechtsbezug im Test)";A;
PD01_05;PDS_5;8 Erleben der Stimmabgabe;PDS Democratic Significance;Ich fühle mich als aktiver Teil der demokratischen Gemeinschaft.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;PDS;;"wortgleich U18; Datensatz-Code PDS_5";A;
PD01_06;PDS_6;8 Erleben der Stimmabgabe;PDS Democratic Significance;Meine Teilnahme an der Wahl macht einen Unterschied.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;PDS;;"wortgleich U18; Datensatz-Code PDS_6; Kurzset B/C";A,B,C;
FT01_01;F1;9 Freitext;Freitext;Was hat aus Ihrer Sicht bei diesem Test gut funktioniert, und was nicht?;Text, mehrzeilig;Freitext;nein;;;Kontextanpassung (v1.1 'bei dieser Wahl');A,B,C;
FT02_01;F2;9 Freitext;Freitext;Hat sich die Stimmabgabe für Sie anders angefühlt als bei früheren Wahlen? Wenn ja, wie?;Text, mehrzeilig;Freitext;nein;;;"wortgleich v1.1; Realness qualitativ";A,B,C;
QS02_01;Q2;10 Qualitätssicherung;Sorgfalt;Ich habe die Fragen sorgfältig und ehrlich beantwortet.;Skala 5 (1 = stimme gar nicht zu ... 5 = stimme voll zu);1-5;nein;;;;A,B,C;
IV01_01;ORDER;intern;Blockreihenfolge;Interne Variable: realisierte Reihenfolge der Blöcke 3 bis 8 (per PHP gesetzt);Interne Variable, Text;z. B. B5,B3,B8,B4,B6,B7;nein;;;;A,B,C;
